Date,Open,High,Low,Close,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,ROC,Williams,Histogram,MACD,Signal,CCI,Smoothing Line,Disparity Index,SES
3/29/16,106.93,108.9,106.73,108.83,106.5085,108.9794454,104.0375546,29963923,27855602.4,57.24384453,54.28193107,5.220922363,-1.252236136,0.079302405,1.243668914,1.16436651,147.1655652,91.69979303,1.704848873,108.83
3/30/16,109.48,110.04,109.13,109.36,106.687,109.4258107,103.9481893,23807235,27160975.2,58.19877783,54.80713184,6.692682927,-10.10401189,0.131152588,1.328307245,1.197154657,157.699115,99.17267361,1.891363086,108.83
3/31/16,109.3,109.69,109.03,109.2,106.8555,109.7716034,103.9393966,21447236,26772849.2,57.79411572,55.32334954,3.223367048,-18.34061135,0.135650987,1.36671839,1.231067403,130.6910824,110.8801209,1.435813052,108.835035
4/1/16,108.58,110.4,108.39,110.36,107.092,110.3224588,103.8615412,26389045,26818570.2,59.89363748,55.77356486,4.280449778,-0.898876404,0.19416453,1.473773066,1.279608536,172.5539891,132.1211784,2.250782579,108.8385022
4/4/16,110.31,110.435,109.68,109.94,107.3055,110.6924365,103.9185635,17162988,26093948.4,58.79396876,56.12465048,4.080280223,-11.0367893,0.182191895,1.507348404,1.32515651,134.9468562,148.6113216,1.641682626,108.8529564
4/5/16,109.08,109.5,108.74,108.88,107.4985,110.7807936,104.2162064,20107915,25806286.15,56.09467703,56.28843577,3.037759061,-37.97313797,0.085408956,1.431917704,1.346508749,73.12425566,133.8030597,0.512347104,108.8632833
4/6/16,109,110.71,108.99,110.67,107.8245,111.0053079,104.6436921,25056031,25614161.45,59.36614488,56.57342238,5.379927633,-0.956937799,0.122227761,1.49929345,1.377065689,148.6211219,131.9874611,1.957042457,108.8634421
4/7/16,110.04,110.225,108.61,109.08,108.0375,110.9436856,105.1313144,28567202,25490154,55.54819732,56.59452116,4.733557369,-38.99521531,0.024873163,1.408157143,1.38328398,57.42615162,117.3344749,0.389166448,108.8806044
4/8/16,109.77,110.02,108.615,109,108.2545,110.7367045,105.7722955,22897951,24385169.1,55.3621654,56.6250544,3.98778859,-40.90909091,-0.055167254,1.314324912,1.369492166,45.06097285,91.83587164,0.208165061,108.8824987
4/11/16,109.48,110.02,108.585,108.6,108.36,110.7090424,106.0109576,25772058,24101074.1,54.41591978,56.53499801,3.764570992,-50.4784689,-0.140455542,1.193922738,1.334378281,15.50387597,67.9472756,-0.212648657,108.8836149
4/12/16,108.66,109.72,108.015,109.51,108.502,110.7670881,106.2369119,28564087,24260532.85,56.18514848,56.52934595,2.835947037,-28.70813397,-0.140640876,1.158577186,1.299218062,67.82398062,66.88722059,0.531792817,108.8809206
4/13/16,110.32,111.08,110.21,110.91,108.716,111.0411357,106.3908643,25356728,24202137.65,58.7433891,56.85029377,3.974875785,-3.736263736,-0.055884406,1.229362555,1.28524696,148.2833198,66.81966017,1.571913574,108.8868969
4/14/16,110,111.33,110,110.92,108.883,111.3341475,106.4318525,17199671,23477468.7,58.76124937,57.16842755,4.023257995,-8.913043478,-0.010910314,1.271609068,1.282519382,134.1897233,82.17237451,1.338449591,108.9061163
4/15/16,110.83,111.055,110.36,110.64,109.039,111.5202569,106.5577431,21353343,23063948.85,58.03078129,57.45942978,2.844394869,-15,-0.011710918,1.267880734,1.279591652,104.6405229,94.08828452,0.850315776,108.9252482
4/18/16,110.33,111.265,110.25,111.23,109.232,111.763921,106.700079,17126086,22036138.5,59.1421798,57.59502516,3.450520833,-3.016591252,0.014387813,1.297576419,1.283188606,127.4397245,116.4754542,1.229929143,108.9415384
4/19/16,111.44,111.44,109.88,110.55,109.37,111.873198,106.866802,42481435,23295782.3,57.32527412,57.53263204,2.961721151,-25.98540146,-0.025102837,1.251810059,1.276912896,75.64102564,118.0388632,0.533293493,108.9632788
4/20/16,110.54,111.15,110.17,110.64,109.496,111.988504,107.003496,18078307,23257683.75,57.50470612,57.51195992,2.644030058,-23.35766423,-0.054436661,1.208867069,1.263303731,73.26288825,103.0347769,0.521113873,108.9783526
4/21/16,110.58,111.05,110.15,110.65,109.667,111.9767628,107.3572372,20215983,23222839.25,57.52531276,57.34279387,2.339992601,-23.06569343,-0.080847997,1.162243735,1.243091732,66.59891599,89.51661544,0.511283269,108.9941383
4/22/16,109.21,109.72,108.12,108.98,109.753,111.8123892,107.6936108,39073996,24225676.15,53.06295162,56.9334355,1.632005968,-71.82481752,-0.211072453,0.979251166,1.190323619,-57.38678545,57.11115378,-0.943996468,109.0098689
4/25/16,108.62,108.99,108.45,108.98,109.8465,111.5577951,108.1352049,14351890,24248655.5,53.06295162,56.71688369,1.603580086,-71.82481752,-0.292481806,0.824721361,1.117203167,-71.8044334,17.26232221,-0.950427173,109.0095852
4/26/16,109.2,109.39,108.12,108.45,109.8275,111.5911539,108.0638461,19118334,23706376.05,51.69062422,56.16863221,1.251050322,-87.29927007,-0.372183921,0.651973266,1.024157187,-111.5158875,-20.16906042,-1.289869583,109.0093041
4/27/16,107.34,107.83,106.69,107.58,109.7385,111.7498008,107.7271992,33059790,24169003.8,49.50801664,55.73719074,-1.148580355,-81.26315789,-0.46748758,0.439797712,0.907285292,-157.6986301,-66.36136409,-1.986151603,109.0039907
4/28/16,107.69,108.3335,106.0705,106.28,109.5925,112.1013473,107.0836527,29818155,24587549.75,46.46368443,55.10158495,-2.816386247,-96.09833318,-0.593950105,0.16484766,0.758797766,-208.6285624,-121.4068598,-2.998852613,108.9904628
4/29/16,106.22,106.495,104.88,105.72,109.3605,112.3539026,106.3670974,67502786,26643236.8,45.21979942,54.44471921,-3.186813187,-87.19512195,-0.684734226,-0.097120017,0.587614209,-201.3272501,-150.1949527,-3.328456474,108.9647134
5/2/16,105.97,106.87,105.5525,106.72,109.1995,112.3907472,106.0082528,24813813,27025778.05,47.81069832,53.8465442,-3.298296484,-71.95121951,-0.647280558,-0.221486488,0.42579407,-127.8966304,-161.4133921,-2.235890725,108.9338887
5/3/16,105.96,106.4399,105.45,105.73,109.042,112.5735583,105.5104417,38569433,27948853.95,45.59373927,52.9072835,-3.82936147,-87.04268293,-0.656935178,-0.395374903,0.261560275,-153.5465925,-169.8195331,-2.813396627,108.9128567
5/4/16,105.12,105.4811,104.7902,105.05,108.761,112.6097915,104.9122085,27474504,28069777.6,44.13401719,51.8624812,-3.517634093,-96.09311558,-0.674329486,-0.581351582,0.092977904,-155.0319589,-169.2861989,-3.064856314,108.8826196
5/5/16,105.43,105.66,104.81,105.02,108.558,112.7325687,104.3834313,20788119,27680823.45,44.0693767,50.86523801,-5.105267914,-96.54425697,-0.652644627,-0.72282788,-0.070183253,-131.6661084,-153.8937081,-2.732240437,108.8462097
5/6/16,104.51,105.6,104.4,105.58,108.387,112.7510215,104.0229785,30758516,28073851.7,45.61349134,49.89890312,-3.208654199,-83.23863636,-0.568462528,-0.780761414,-0.212298885,-96.38099162,-132.9044564,-1.846699382,108.8098607
5/9/16,105.61,106.37,105.54,105.88,108.251,112.7475138,103.7544862,19289615,27749729.55,46.43616052,49.1211093,-2.862385321,-78.07407407,-0.464818287,-0.793321744,-0.328503457,-76.36439764,-122.5980098,-1.261606917,108.779177
5/10/16,106.26,107.38,106.07,107.33,108.142,112.6167898,103.6672102,21178851,27380467.75,50.21590002,48.60048029,-1.169429098,-55.93984962,-0.279959026,-0.67845224,-0.398493214,-26.36791687,-97.16227469,0.311759405,108.7516348
5/11/16,107.16,107.49,106.33,106.36,107.9145,112.2641504,103.5648496,20966257,27160944.2,47.86928803,47.91076424,-2.876449639,-63.15789474,-0.207687056,-0.658102033,-0.450414978,-52.31496672,-76.61887626,-0.309307339,108.7381293
5/12/16,106.68,106.735,105.14,105.89,107.663,111.8677074,103.4582926,29196323,27760776.8,46.76957345,47.46123722,-4.526192408,-70.14028056,-0.17738904,-0.672151278,-0.494762238,-62.81887755,-62.84943008,-0.544087161,108.7155371
5/13/16,105.85,106.449,105.29,105.5,107.406,111.4776798,103.3343202,21059255,27746072.4,45.86168972,46.94686137,-4.886404616,-77.95591182,-0.169478041,-0.706609789,-0.537131748,-71.33767498,-57.84076675,-0.678506345,108.6886945
5/16/16,105.67,107.21,105.56,106.82,107.1855,110.8635673,103.5074327,18311860,27805361.1,49.31954691,46.77749871,-3.45263919,-38.47718317,-0.066499017,-0.620255519,-0.553756502,-15.54393127,-45.67667348,0.674538527,108.6584019
5/17/16,106.74,107.04,105.2,105.48,106.932,110.3362479,103.5277521,29932711,27177924.9,46.20823857,46.54180028,-5.169468669,-72.54353629,-0.078934948,-0.652425187,-0.573490239,-68.7207156,-54.14723323,-0.447632402,108.6409371
5/18/16,105.29,106.43,105.04,105.86,106.693,109.6662817,103.7197183,28177911,27682905.1,47.18934194,46.59363295,-4.242424242,-52.75080906,-0.053112536,-0.639880909,-0.586768373,-46.40927071,-52.96609402,-0.06069025,108.6109082
5/19/16,105.45,105.705,104.54,105.31,106.426,108.8356091,104.0163909,27334610,28038836.45,45.93022213,46.64437743,-4.817425886,-70.55016181,-0.063893561,-0.666635324,-0.602741763,-75.31889046,-55.46609661,-0.552434015,108.5847745
5/20/16,105.74,106.9,105.67,106.47,106.3005,108.407398,104.193602,29549578,27562615.55,48.91558597,46.72329798,-3.777677361,-33.00970874,0.01222208,-0.587464164,-0.599686243,13.60462316,-38.47763698,0.559948188,108.5536642
5/23/16,106.55,106.97,106.23,106.33,106.168,107.8806074,104.4553926,15729764,27631509.25,48.57941868,46.9365608,-2.431638833,-37.54045307,0.055821939,-0.52990882,-0.585730759,15.8172232,-32.20540608,0.387084592,108.5338694
5/24/16,106.92,108.59,106.885,108.46,106.1685,107.8837758,104.4532242,29931309,28172158,53.61581725,47.61383223,-0.477151771,-3.102625298,0.221494827,-0.308862225,-0.530357052,223.555523,26.24984164,2.163104105,108.5129326
5/25/16,108.86,109.57,108.684,109.24,106.2515,108.3498258,104.1531742,38464750,28442406,55.28143886,48.41469381,0.728446289,-6.382978723,0.3683372,-0.069935551,-0.438272752,257.1914198,86.96997974,2.606490396,108.5124297
5/26/16,109.35,109.7,109.09,109.56,106.4155,108.9619601,103.8690399,21885871,28045791.8,55.95526252,49.15339175,1.840490798,-2.713178295,0.465483612,0.143581763,-0.321901849,216.3063853,145.2950349,2.633005239,108.5193417
5/27/16,109.65,110.14,109.61,110.13,106.636,109.6281123,103.6438877,19870010,25664153,57.14960414,49.91863773,3.622506586,-0.178571429,0.541282467,0.354701235,-0.186581232,197.2673893,182.0275881,2.874414508,108.5292279
5/31/16,110.28,110.51,109.7837,110.34,106.817,110.2176182,103.4163818,24366106,25641767.65,57.58959315,50.44533009,4.370034052,-2.847571189,0.575519534,0.532818186,-0.042701348,165.8545771,212.0350589,2.863992009,108.5444352
6/1/16,110,110.6,109.91,110.35,107.048,110.7372904,103.3587096,19571528,24691872.4,57.61111651,51.14117498,3.401424288,-4.125412541,0.567836456,0.667094222,0.099257766,136.9499399,194.7139423,2.600714599,108.5614931
6/2/16,110.13,110.59,109.53,110.58,107.3245,111.1976975,103.4513025,15696618,24102978.1,58.1187792,51.95183254,4.587155963,-0.330033003,0.547027075,0.78304161,0.236014535,124.7748266,168.2306236,2.495315903,108.5784839
6/3/16,110.37,110.42,109.34,110.06,107.5765,111.4729203,103.6800797,20269923,24077068.3,56.52927171,52.71380268,4.769157544,-8.910891089,0.469971211,0.823478548,0.353507337,91.43288418,143.2559234,1.70628189,108.5974983
6/6/16,110.25,110.75,110.07,110.46,107.8205,111.7966362,103.8443638,12502365,23164260.75,57.45867493,53.29516897,5.179965721,-4.669887279,0.419341626,0.87768437,0.458342744,93.62170023,122.5267856,1.831255803,108.6113921
6/7/16,110.53,110.63,110.13,110.18,108.0355,112.0336369,104.0373631,12184296,22808994.8,56.57934147,54.03596203,4.356885774,-9.178743961,0.343577834,0.887815036,0.544237202,75.22581777,104.4010337,1.259740174,108.6289539
6/8/16,110.37,110.6,109.96,110.37,108.1875,112.2964068,104.0785932,14568699,22478487.2,57.04259846,54.73976607,4.240649792,-6.119162641,0.285243288,0.900791312,0.615548024,73.97991611,91.80702897,1.134935595,108.6436888
6/9/16,109.93,110.31,109.71,110.19,108.379,112.4863685,104.2716315,17571631,22308755.9,56.45008328,55.49118472,2.664679027,-11.02362205,0.216628387,0.886333508,0.669705121,62.3236286,79.31678938,0.648520278,108.6600888
6/10/16,109.2,109.4,108.56,108.94,108.5315,112.4813571,104.5816429,32965003,22497189.9,52.51620058,55.74837148,2.425723956,-40.04424779,0.076388225,0.765190402,0.688802177,15.11116043,64.05244463,-0.653339326,108.6746229
6/13/16,108.34,108.93,107.89,108.03,108.658,112.3660539,104.9499461,25412177,22714836,49.88790686,55.84183492,2.020965153,-70.37516171,-0.079869741,0.588965001,0.668834742,-25.36758766,40.25458705,-1.592176408,108.677144
6/14/16,107.78,108.415,107.24,108.03,108.7185,112.3431725,105.0938275,24588506,23028668.3,49.88790686,55.57555561,2.398104265,-77.49287749,-0.179719941,0.444184815,0.623904757,-29.09113956,19.39119559,-1.564635591,108.6709961
6/15/16,108.32,108.44,107.54,107.72,108.8305,112.1756306,105.4853694,24605701,22762317.8,48.98723894,55.1259699,0.84253885,-86.32478632,-0.258354393,0.300961766,0.559316158,-51.29093344,-5.662974325,-1.749905534,108.6649067
6/16/16,107.17,108.14,106.5,108.04,108.9395,112.0221253,105.8568747,32079929,22957418.7,49.955745,54.69743294,2.427000379,-63.76470588,-0.278775106,0.210847276,0.489622382,-45.6854081,-27.26478166,-1.360357893,108.6559301
6/17/16,107.53,107.6819,106.24,106.49,108.9985,111.8364589,106.1605411,29208832,23051129.8,45.60093333,53.87252788,0.595125638,-94.45676275,-0.380341734,0.014195215,0.394536949,-134.0386593,-57.09474562,-2.544156676,108.6500787
6/20/16,107.73,108.24,107.08,107.16,109.033,111.7618466,106.3041534,20562769,22601789.35,47.64944639,53.16251739,1.75671826,-79.60088692,-0.38490267,-0.086591389,0.298311281,-103.2211843,-72.66546495,-1.726712957,108.629558
6/21/16,107.33,107.715,107.1,107.5,109.0915,111.6295487,106.5534513,22804112,22955506.75,48.66810605,52.52373093,0.96740866,-72.06208426,-0.348605783,-0.137445948,0.211159835,-92.63543895,-85.37432483,-1.230516817,108.6155972
6/22/16,107.58,108.19,107.15,107.24,109.0305,111.6824161,106.3785839,22724174,22595150,47.92751646,51.79578359,0.855826201,-77.827051,-0.326098804,-0.196463669,0.129635134,-98.45079522,-94.80629719,-1.252951507,108.604999
6/23/16,108.09,108.79,107.62,108.77,109.007,111.6594034,106.3545966,18714227,21607623.85,52.35781811,51.49782262,0.285819657,-43.90243902,-0.19843806,-0.11841244,0.08002562,-13.00411523,-88.27003861,0.240928959,108.5920315
6/24/16,104.81,106.5,104.06,104.29,108.7435,112.0821181,105.4048819,68012733,23913966.95,41.59663139,50.36481951,-4.531307213,-96.49923896,-0.39465304,-0.41329068,-0.01863764,-209.2097382,-103.3042544,-3.495819426,108.5937222
6/27/16,103.6,103.6,101.75,102.22,108.348,112.6662663,104.0297337,50044303,25422681.6,37.86264818,49.02791285,-6.699525374,-94.68926554,-0.628881072,-0.80473898,-0.175857908,-243.7549722,-131.411012,-4.910996086,108.5528369
6/28/16,103.33,104.51,103.3,104.46,108.054,112.5851561,103.5228439,28260604,25617406.5,43.55638167,48.06461165,-5.14846091,-68.3411215,-0.59816885,-0.92356897,-0.325400121,-137.5904445,-140.4020131,-2.444165755,108.4926749
6/29/16,105.26,106.53,105.231,106.31,107.852,112.3154229,103.3885771,31356723,26206666.25,47.66899251,47.43739088,-3.65234729,-40.39215686,-0.426532735,-0.85856604,-0.432033305,-59.49762704,-132.6113794,-0.458801498,108.4543645
6/30/16,106.52,107.61,106.13,107.54,107.7,111.9849504,103.4150496,36300819,27236876.3,50.17550281,47.27019818,-2.546443135,-19.35933148,-0.214160502,-0.699733932,-0.48557343,-6.629376424,-131.3364317,0.787253983,108.433993
7/1/16,107.49,108.48,107.45,108.08,107.601,111.7526931,103.4493069,19902803,27218520.3,51.24026063,47.36679488,-2.260806656,-10.08522727,-0.030934634,-0.524241722,-0.493307088,21.01015418,-85.29245318,1.289955484,108.4255001
7/5/16,107.58,107.66,106.84,107.42,107.449,111.3880248,103.5099752,21167903,27651797.2,49.88713819,47.36673998,-2.398691623,-19.46022727,0.047907164,-0.433423134,-0.481330297,-1.38075513,-36.81760978,0.712544534,108.4222178
7/6/16,106.92,108.35,106.57,108.3,107.355,111.1144867,103.5955133,24579270,28271545.9,51.65483574,47.5572826,-1.95545899,-6.960227273,0.155360043,-0.287130244,-0.442490287,47.31505821,0.163490757,1.498172471,108.4126968
7/7/16,108.39,108.86,108.11,108.62,107.2675,110.8178683,103.7171317,19161748,28501198.35,52.29034625,47.72403984,-1.415864948,-3.375527426,0.239020947,-0.143714103,-0.38273505,70.98340222,26.25969661,1.75856531,108.4116262
7/8/16,109.17,110.36,109.02,110.3,107.273,110.8417538,103.7042462,29457871,29095510.35,55.48089816,48.42975161,-0.063423032,-0.696864111,0.389631106,0.104303833,-0.285327273,158.3863119,59.26283428,3.069663131,108.4136057
7/11/16,110.68,111.335,110.66,110.93,107.3725,111.221572,103.523428,20218504,28458185.4,56.61085619,49.06985231,0.671567293,-4.225352113,0.506411932,0.347687642,-0.15872429,176.496124,90.36002825,3.398181068,108.4315265
7/12/16,111.59,111.79,111.34,111.49,107.5455,111.7881335,103.3028665,21906145,28282883.8,57.60414874,49.70814107,2.340738021,-2.988047809,0.590245892,0.579083074,-0.011162817,177.3805509,126.1122894,3.644826922,108.455262
7/13/16,111.79,111.82,111.21,111.22,107.705,112.2383895,103.1716105,21107762,28108846.6,56.95136937,50.352702,2.952883458,-5.958291956,0.594720729,0.732238093,0.137517365,142.7121397,145.1917057,3.121295407,108.484092
7/14/16,111.96,112.19,111.7,111.98,107.918,112.8195532,103.0164468,20870986,27922110.85,58.3316248,50.77940247,3.656391743,-2.011494253,0.613596931,0.904513529,0.290916598,145.9838275,160.1917908,3.605699331,108.5100831
7/15/16,112.22,112.3,111.55,111.8,108.106,113.2920251,102.9199749,17999312,27218080,57.87522844,51.94215941,3.787597475,-4.739336493,0.579122994,1.01482034,0.435697346,120.3884761,152.5922236,2.928314493,108.5430473
7/18/16,111.86,112.74,111.85,112.54,108.4085,113.8801187,102.9368813,20713924,26793334.6,59.23684711,53.4688879,4.165124028,-2.118644068,0.570409715,1.14870949,0.578299775,125.347957,142.3625902,2.911188185,108.5739884
